"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.436610700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.940402400E-2,3.733602166E-2,-1.533699036E-2,-3.157138824E-2,5.124406641E-2
4.444188800E-2,5.379244685E-2,-3.228616714E-2,-5.196189880E-2,8.146203321E-2
4.947980500E-2,7.987391949E-2,-8.693075180E-2,-6.650066376E-2,1.354958926E-1
5.451767000E-2,9.448125958E-2,-1.424348354E-1,-8.056735992E-2,1.889589644E-1
5.955553400E-2,1.105695665E-1,-1.650269032E-1,-8.955192566E-2,2.178968912E-1
6.459345100E-2,1.050170958E-1,-2.285172939E-1,-8.736991882E-2,2.662372002E-1
6.963131600E-2,5.210575461E-2,-2.640523911E-1,-6.622505188E-2,2.771722071E-1
7.466918000E-2,2.083343267E-2,-2.853577137E-1,-7.389163971E-2,2.955047057E-1
7.970709700E-2,-6.838440895E-3,-2.698259354E-1,-4.063606262E-2,2.729543721E-1
8.474496100E-2,2.037569880E-2,-2.305212021E-1,-6.295013428E-2,2.398289247E-1
8.978282600E-2,2.364027500E-2,-2.098820210E-1,-5.531978607E-2,2.183336988E-1
9.482074300E-2,1.142856479E-2,-1.660799980E-1,-3.753185272E-2,1.706511582E-1
9.985860700E-2,-1.994401217E-3,-1.532664299E-1,-3.230476379E-2,1.566466531E-1
1.048965240E-1,-4.574403167E-2,-1.243054867E-1,2.158737183E-2,1.342027760E-1
1.099343880E-1,-7.355982065E-2,-9.993386269E-2,7.669448853E-2,1.458762102E-1
1.149722530E-1,-1.158066392E-1,-5.937433243E-2,1.221027374E-1,1.784532642E-1
1.200101700E-1,-1.741803885E-1,-3.120422363E-3,1.518268585E-1,2.310842697E-1
1.250480340E-1,-1.800464690E-1,5.023431778E-2,1.464128494E-1,2.374382870E-1
1.300858990E-1,-2.133775055E-1,1.057653427E-1,1.734743118E-1,2.946346966E-1
1.351238160E-1,-2.091943324E-1,1.477570534E-1,1.631355286E-1,3.036570701E-1
1.401616800E-1,-2.240444720E-1,2.068438530E-1,1.672477722E-1,3.477817164E-1
1.451995450E-1,-2.273003459E-1,2.344906330E-1,1.530771255E-1,3.606714718E-1
1.502374610E-1,-2.377394885E-1,2.642283440E-1,1.235866547E-1,3.763114978E-1
1.552753260E-1,-2.343063056E-1,2.477743626E-1,7.466030121E-2,3.490927387E-1
1.603132430E-1,-2.129224241E-1,2.650303841E-1,6.213760376E-2,3.455982421E-1
1.653511070E-1,-1.650380790E-1,2.801108360E-1,3.956794739E-3,3.251388999E-1
1.703889720E-1,-9.603847563E-2,2.721910477E-1,7.815361023E-3,2.887428529E-1
1.754268880E-1,-2.965956926E-2,2.118594646E-1,-4.666328430E-3,2.139763946E-1
1.804647530E-1,2.749687433E-2,1.536667347E-1,-2.595710754E-2,1.582507974E-1
1.855026180E-1,4.565355182E-2,8.790564537E-2,-8.819293976E-2,1.326259549E-1
1.905405340E-1,9.563940763E-2,1.443672180E-2,-1.182575226E-1,1.527748568E-1
1.955783990E-1,1.278843880E-1,-4.579305649E-2,-1.241321564E-1,1.840114479E-1
2.006163160E-1,1.708845198E-1,-7.475090027E-2,-1.320800781E-1,2.285483827E-1
2.056541800E-1,1.872856617E-1,-6.169700623E-2,-1.141605377E-1,2.278487832E-1
2.106920450E-1,1.823832989E-1,-1.218278408E-1,-5.941390991E-2,2.272349075E-1
2.157299610E-1,1.590468585E-1,-1.040124893E-1,-3.168296814E-2,1.926611316E-1
2.207678260E-1,1.131862998E-1,-1.034324169E-1,-6.931304932E-3,1.534843520E-1
2.258056910E-1,6.867301464E-2,-3.546738625E-2,-1.776123047E-2,7.930560973E-2
2.308436070E-1,3.232425451E-2,-4.631471634E-2,-3.042221069E-4,5.648011093E-2
2.358814720E-1,1.558807492E-2,8.495569229E-3,5.041122437E-3,1.845469295E-2
2.409193360E-1,-2.179467678E-2,1.777005196E-2,1.488971710E-2,3.181959079E-2
2.459572530E-1,-7.467731833E-2,2.246809006E-2,5.482864380E-2,9.532941375E-2
2.509951180E-1,-9.592576325E-2,1.347923279E-2,8.206081390E-2,1.269543971E-1
2.560330340E-1,-1.143253446E-1,3.337574005E-2,1.015367508E-1,1.565053871E-1
2.610708990E-1,-1.136201471E-1,5.118417740E-2,1.157627106E-1,1.700892795E-1
2.661087630E-1,-1.247029155E-1,5.745196342E-2,1.342754364E-1,1.920454063E-1
2.711466800E-1,-1.449389905E-1,1.958060265E-2,1.476259232E-1,2.078079020E-1
2.761845450E-1,-1.506881416E-1,1.568603516E-2,1.489362717E-1,2.124499488E-1
2.812224090E-1,-1.587391496E-1,9.752750397E-3,9.156608582E-2,1.835145275E-1
2.862603260E-1,-1.245609224E-1,7.223558426E-2,8.928012848E-2,1.694235649E-1
2.912981910E-1,-7.002456486E-2,6.087398529E-2,3.773117065E-2,1.001634814E-1
2.963361070E-1,-1.418617368E-2,9.664797783E-2,2.007675171E-2,9.972539848E-2
3.013739720E-1,2.416867018E-2,8.687281609E-2,-2.301120758E-2,9.306194962E-2
3.064118360E-1,6.882476807E-2,7.909512520E-2,-8.866691589E-2,1.373124521E-1
3.114497530E-1,9.851622581E-2,4.261970520E-2,-7.069492340E-2,1.285288225E-1
3.164876180E-1,1.276444793E-1,-1.728534698E-2,-7.641887665E-2,1.497722972E-1
3.215254820E-1,1.280428469E-1,-3.916358948E-2,-1.054086685E-1,1.704105184E-1
3.265633990E-1,1.403050125E-1,-5.180525780E-2,-1.361398697E-1,2.022457549E-1
3.316012630E-1,1.311537027E-1,-6.702828407E-2,-1.215457916E-1,1.909645623E-1
3.366391800E-1,1.363298297E-1,-7.515263557E-2,-6.006813049E-2,1.668589866E-1
3.416770450E-1,1.178997755E-1,-6.664538383E-2,-9.031295776E-3,1.357332994E-1
3.467149090E-1,6.686872244E-2,-1.027455330E-1,3.167629242E-2,1.266153944E-1
3.517528260E-1,1.434066892E-2,-9.319686890E-2,4.809284210E-2,1.058500478E-1
3.567906910E-1,-2.546623349E-2,-1.258625984E-1,6.415367126E-2,1.435465648E-1
3.618285550E-1,-8.589559793E-2,-1.316554546E-1,6.334495544E-2,1.694809602E-1
3.668664720E-1,-7.468312979E-2,-9.917998314E-2,8.365154266E-2,1.497057765E-1
3.719043360E-1,-1.060915589E-1,-8.789730072E-2,9.644508362E-2,1.681755289E-1
3.769422530E-1,-1.299156547E-1,-8.581376076E-2,1.160306931E-1,1.941782701E-1
3.819801180E-1,-1.486698985E-1,-5.037426949E-2,9.513664246E-2,1.835518632E-1
3.870179820E-1,-1.506186724E-1,-3.879547119E-2,9.572601318E-2,1.826322607E-1
3.920558990E-1,-9.823809564E-2,-1.544165611E-2,7.031726837E-2,1.217936222E-1
3.970937630E-1,-4.909050465E-2,2.959251404E-3,4.997158051E-2,7.011272120E-2
4.021316800E-1,2.050834894E-2,1.867246628E-2,8.425521851E-2,8.870284786E-2
4.071695450E-1,6.070998311E-2,4.582357407E-2,3.783702850E-2,8.495376811E-2
4.122074090E-1,1.026536822E-1,5.347442627E-2,2.046012878E-2,1.175410975E-1
4.172453260E-1,1.133022308E-1,4.182171822E-2,-1.786231995E-2,1.220881407E-1
4.222831910E-1,1.001257002E-1,2.295041084E-2,-2.016258240E-2,1.046824099E-1
4.273210550E-1,9.192550182E-2,-1.014924049E-2,-3.417682648E-2,9.859695957E-2
4.323589720E-1,6.498652697E-2,-4.785180092E-2,-9.286022186E-2,1.230287135E-1
4.373968360E-1,4.794269800E-2,-6.658220291E-2,-7.742118835E-2,1.128083882E-1
4.424347010E-1,7.136246562E-2,-1.113402843E-1,-9.286117554E-2,1.615934972E-1
4.474726180E-1,5.672803521E-2,-9.889268875E-2,-8.682060242E-2,1.433026548E-1
4.525104820E-1,6.360733509E-2,-1.552650928E-1,-9.031200409E-2,1.905502564E-1
4.575483990E-1,2.320671082E-2,-1.660752296E-1,-6.064701080E-2,1.783187967E-1
4.625862630E-1,-2.368062735E-2,-1.625654697E-1,-2.661323547E-2,1.664228601E-1
4.676241280E-1,-9.353445470E-2,-1.733007431E-1,9.383201599E-3,1.971544731E-1
4.726620450E-1,-1.174968332E-1,-1.009325981E-1,2.835083008E-2,1.574695677E-1
4.776999090E-1,-1.270064265E-1,-8.606910706E-2,7.311248779E-2,1.699528153E-1
4.827378260E-1,-1.411452889E-1,-4.283571243E-2,6.762886047E-2,1.622669209E-1
4.877756910E-1,-1.408904493E-1,4.495787621E-2,5.983066559E-2,1.595338142E-1
4.928135550E-1,-8.855752647E-2,8.675193787E-2,3.793144226E-2,1.296423100E-1
4.978514720E-1,-5.338403583E-2,1.279706955E-1,2.815437317E-2,1.414885964E-1
5.028893360E-1,1.443913579E-2,1.782200336E-1,3.744220734E-2,1.826822047E-1
5.079272010E-1,1.738095284E-2,1.592464447E-1,5.375480652E-2,1.689707279E-1
5.129651180E-1,1.305553317E-2,1.430668831E-1,9.117031097E-2,1.701487749E-1
5.180029820E-1,2.764129639E-2,1.106946468E-1,8.787155151E-2,1.440095680E-1
5.230408990E-1,4.043251276E-3,1.097068787E-1,5.611801147E-2,1.232930587E-1
5.280787630E-1,5.412274599E-2,7.337069511E-2,3.411960602E-2,9.734823085E-2
5.331166280E-1,5.616816878E-2,2.573227882E-2,5.187034607E-3,6.199934424E-2
5.381545450E-1,8.904704452E-2,9.386062622E-3,-2.108955383E-2,9.199045379E-2
5.431924090E-1,9.558874369E-2,1.202559471E-2,-5.892562866E-2,1.129338415E-1
5.482302740E-1,1.139099300E-1,-4.243326187E-2,-7.026958466E-2,1.404060839E-1
5.532681910E-1,1.201774180E-1,-7.280182838E-2,-3.404903412E-2,1.445754292E-1
5.583060550E-1,1.335185170E-1,-6.982827187E-2,-5.504798889E-2,1.604165298E-1
5.633439720E-1,1.183493733E-1,-8.374595642E-2,-6.866836548E-2,1.604222672E-1
5.683818360E-1,9.388259053E-2,-6.448173523E-2,-7.264137268E-2,1.350873940E-1
5.734197010E-1,6.724163890E-2,-5.260252953E-2,-3.623390198E-2,9.274351604E-2
5.784576180E-1,4.561549425E-2,-2.197957039E-2,-9.619712830E-3,5.154040847E-2
5.834954820E-1,-1.129654050E-2,-4.857802391E-2,9.633064270E-3,5.079598568E-2
5.885333990E-1,-5.337530375E-2,-5.585122108E-2,4.054260254E-2,8.724668800E-2
5.935712630E-1,-1.070162505E-1,-8.428287506E-2,9.012413025E-2,1.633353598E-1
5.986091280E-1,-1.411542594E-1,-8.846163750E-2,1.202096939E-1,2.054272542E-1
6.036470450E-1,-1.487887502E-1,-1.088569164E-1,1.499347687E-1,2.376307120E-1
6.086849090E-1,-1.421657205E-1,-4.559206963E-2,1.294517517E-1,1.976043646E-1
6.137228260E-1,-1.403740048E-1,-3.006076813E-2,1.067008972E-1,1.788675277E-1
6.187606910E-1,-1.030035615E-1,2.105522156E-2,5.563735962E-2,1.189477693E-1
6.237985550E-1,-4.467111826E-2,2.910280228E-2,7.360458374E-3,5.382061180E-2
6.288364720E-1,4.166406393E-2,8.459854126E-2,9.332656860E-3,9.476236537E-2
6.338743360E-1,8.679077029E-2,1.016592979E-1,-1.482391357E-2,1.344879143E-1
6.389122530E-1,1.149678528E-1,1.254742146E-1,-6.483173370E-2,1.821113379E-1
6.439501180E-1,1.192303896E-1,1.417114735E-1,-1.238479614E-1,2.227921566E-1
6.489879820E-1,1.092455983E-1,1.385340691E-1,-1.490564346E-1,2.309634381E-1
6.540258990E-1,1.396920979E-1,1.255164146E-1,-1.359596252E-1,2.318475194E-1
6.590637630E-1,1.390497983E-1,1.098937988E-1,-1.205024719E-1,2.143183127E-1
6.641016280E-1,1.194647849E-1,9.162807465E-2,-1.121845245E-1,1.877575736E-1
6.691395450E-1,1.261173487E-1,8.504438400E-2,-7.059860229E-2,1.676970350E-1
6.741774090E-1,1.231641173E-1,1.410555840E-2,-2.214717865E-2,1.259319820E-1
6.792153260E-1,1.177828610E-1,1.716017723E-2,2.215385437E-3,1.190469738E-1
6.842531910E-1,1.171285808E-1,-1.089787483E-2,9.824752808E-3,1.180440337E-1
6.892910550E-1,9.501734376E-2,-1.511693001E-2,3.640556335E-2,1.028697343E-1
6.943289720E-1,8.245489001E-2,-6.678199768E-2,6.039428711E-2,1.220905976E-1
6.993668360E-1,8.657467365E-2,-7.296085358E-2,2.484512329E-2,1.159126413E-1
7.044047530E-1,1.048141122E-1,-1.004226208E-1,3.707122803E-2,1.498164771E-1
