"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.119599900E-2,1.174291819E-1,-1.282866001E-1,1.907567978E-1,2.581379872E-1
7.623391500E-2,8.531975746E-2,-9.970355034E-2,1.016054153E-1,1.659636086E-1
8.127178000E-2,7.922533154E-2,-6.647872925E-2,3.122138977E-2,1.080317073E-1
8.630969700E-2,1.073835641E-1,-5.842423439E-2,-2.052307129E-3,1.222654202E-1
9.134756100E-2,1.408002973E-1,-6.649422646E-2,2.470016479E-4,1.557121282E-1
9.638547800E-2,1.506252289E-1,-2.552461624E-2,2.661132812E-2,1.550729776E-1
1.014233950E-1,1.607324928E-1,1.027607918E-2,1.787090302E-2,1.620490704E-1
1.064612590E-1,1.620863229E-1,2.120614052E-2,2.102184296E-2,1.648138172E-1
1.114991760E-1,1.369614899E-1,2.902865410E-2,7.351970673E-2,1.581336769E-1
1.165370400E-1,1.226938665E-1,1.801252365E-2,5.348491669E-2,1.350513687E-1
1.215749570E-1,8.916462958E-2,2.763414383E-2,7.780742645E-2,1.215235479E-1
1.266128220E-1,5.307815969E-2,4.347300529E-2,6.711292267E-2,9.597571367E-2
1.316507380E-1,1.670403779E-2,6.551885605E-2,2.983093262E-2,7.390284106E-2
1.366886030E-1,9.527921677E-3,4.814147949E-3,4.678630829E-2,4.798870654E-2
1.417265200E-1,-1.542933285E-2,-1.978874207E-4,1.499462128E-2,2.151609023E-2
1.467644360E-1,-4.601505399E-2,1.126146317E-2,-1.705169678E-3,4.740372717E-2
1.518023010E-1,-4.783934355E-2,-5.070209503E-3,2.812385559E-2,5.572486939E-2
1.568402170E-1,-3.134313226E-2,-4.610300064E-3,4.300689697E-2,5.341572796E-2
1.618781340E-1,-2.940674126E-2,7.225513458E-3,4.130077362E-2,5.121248264E-2
1.669159990E-1,-1.844102144E-2,9.275674820E-3,3.744983673E-2,4.276212911E-2
1.719539150E-1,-1.027807593E-2,2.030658722E-2,5.692291260E-2,6.130427642E-2
1.769917800E-1,-2.592742443E-3,7.758378983E-3,8.738517761E-2,8.776721497E-2
1.820296970E-1,1.407660544E-2,2.569818497E-2,6.140041351E-2,6.803350874E-2
1.870675610E-1,2.090714872E-2,8.397579193E-3,3.399085999E-2,4.077997997E-2
1.921054780E-1,5.540584028E-2,5.198049545E-2,-6.450653076E-3,7.624558984E-2
1.971433950E-1,4.008272290E-2,5.480313301E-2,1.701545715E-2,6.999667024E-2
2.021812590E-1,4.381521046E-2,2.041816711E-2,-8.992195129E-3,4.916842269E-2
2.072191760E-1,1.497595012E-2,2.416157722E-2,-4.819679260E-2,5.595526529E-2
2.122570920E-1,4.050573707E-2,4.397463799E-2,-3.743743896E-2,7.054108985E-2
2.172949570E-1,3.975316882E-2,7.298469543E-3,7.962226868E-3,4.119440673E-2
2.223328740E-1,2.965384722E-2,-1.217389107E-2,5.452728271E-2,6.325171016E-2
2.273707380E-1,1.282165945E-2,1.361370087E-3,4.631996155E-2,4.808104738E-2
2.324086550E-1,-1.239985228E-3,-2.990603447E-2,5.238246918E-2,6.033101639E-2
2.374465200E-1,-9.450614452E-4,-1.374673843E-2,3.965282440E-2,4.197871415E-2
2.424844360E-1,6.260871887E-3,-1.434159279E-2,3.426074982E-2,3.766535249E-2
2.475223530E-1,2.036088705E-2,-2.419996262E-2,1.496315002E-2,3.498713722E-2
2.525602170E-1,3.651976585E-2,-5.601882935E-3,1.244544983E-2,3.898671071E-2
2.575981340E-1,2.671007812E-2,5.668401718E-3,7.619857788E-3,2.834821483E-2
2.626359990E-1,2.186821401E-2,-6.583452225E-3,3.799819946E-2,4.433310038E-2
2.676739150E-1,5.220848322E-2,-1.363468170E-2,4.425239563E-2,6.978470308E-2
2.727118320E-1,5.382406712E-2,-3.209543228E-2,6.676292419E-2,9.156656061E-2
2.777496970E-1,6.236568093E-2,-3.175258636E-3,1.028871536E-1,1.203550032E-1
2.827876130E-1,4.722881317E-2,-2.874159813E-2,8.905029297E-2,1.048169592E-1
2.878255300E-1,4.882349074E-2,-4.674911499E-2,8.490085602E-2,1.085235843E-1
2.928633950E-1,3.169369698E-2,-3.631258011E-2,1.513385773E-2,5.051858620E-2
2.979013110E-1,4.082320631E-2,-4.957771301E-2,-4.156875610E-2,7.650127636E-2
3.029391760E-1,4.273451865E-2,-4.015922546E-3,-3.375625610E-2,5.460633245E-2
3.079770920E-1,5.169180036E-2,-4.003286362E-3,-5.193901062E-2,7.338752857E-2
3.130150090E-1,5.826257169E-2,-6.314039230E-3,-2.279663086E-2,6.288148162E-2
3.180528740E-1,7.418094575E-2,1.958298683E-2,-8.272171021E-3,7.716692879E-2
3.230907900E-1,5.447626114E-2,1.448607445E-2,3.187370300E-2,6.475679365E-2
3.281287070E-1,3.738181293E-2,1.418995857E-2,5.487537384E-2,6.789743380E-2
3.331665720E-1,1.111586392E-2,1.146697998E-2,4.457092285E-2,4.734576248E-2
3.382044880E-1,-7.666245103E-3,-7.128715515E-4,3.682613373E-2,3.762238197E-2
3.432423530E-1,-3.323552012E-2,-3.392291069E-2,3.864383698E-2,6.122670826E-2
3.482802700E-1,-4.903358221E-2,-3.601217270E-2,2.395820618E-2,6.538474142E-2
3.533181860E-1,-5.517032743E-2,-5.466127396E-2,1.660060883E-2,7.941788282E-2
3.583560510E-1,-5.176819861E-2,-7.548069954E-2,-3.305053711E-2,9.731197456E-2
3.633939670E-1,-6.011089683E-2,-8.197259903E-2,-6.070995331E-2,1.183998536E-1
3.684318320E-1,-3.527535498E-2,-9.327816963E-2,-4.547691345E-2,1.096052793E-1
3.734697490E-1,-8.338734508E-3,-6.218218803E-2,-3.278732300E-2,7.078960059E-2
3.785076650E-1,3.476470709E-2,-2.695059776E-2,2.456760406E-2,5.038339755E-2
3.835455300E-1,4.418505728E-2,-1.809954643E-2,6.692790985E-2,8.221470662E-2
3.885834470E-1,4.395371675E-2,4.871606827E-3,1.086854935E-1,1.173379660E-1
3.936213630E-1,5.784893036E-2,3.253436089E-2,1.144008636E-1,1.322593701E-1
3.986592280E-1,5.736833811E-2,3.888988495E-2,7.983970642E-2,1.057257210E-1
4.036971450E-1,1.903048158E-2,2.411341667E-2,6.696701050E-2,7.367629597E-2
4.087350610E-1,7.248982787E-3,3.105831146E-2,3.531551361E-2,4.758520741E-2
4.137729260E-1,-1.845067739E-2,-1.152586937E-2,-1.249694824E-2,2.508877989E-2
4.188108420E-1,-4.142059386E-2,-2.275347710E-2,-3.135681152E-2,5.671539425E-2
4.238487070E-1,-6.639419496E-2,-2.911543846E-2,-2.871131897E-2,7.797587908E-2
4.288866240E-1,-6.972340494E-2,-3.551816940E-2,-1.425552368E-2,7.953686887E-2
4.339245400E-1,-6.118685007E-2,-7.275509834E-2,-1.412582397E-2,9.610761603E-2
4.389624050E-1,-4.327817261E-2,-6.954884529E-2,2.602577209E-3,8.195618045E-2
4.440003220E-1,-4.339247942E-3,-6.177854538E-2,4.043865204E-2,7.396419621E-2
4.490381860E-1,-3.771975636E-3,-4.000616074E-2,3.527641296E-2,5.347098287E-2
4.540761030E-1,3.776386380E-3,-3.508734703E-2,7.513618469E-2,8.301101894E-2
4.591140200E-1,7.276521623E-2,-3.254079819E-2,3.644657135E-2,8.764720648E-2
4.641518840E-1,7.707290351E-2,-6.250143051E-3,5.024147034E-2,9.221443534E-2
4.691898010E-1,1.192574650E-1,-3.457951546E-2,7.057189941E-3,1.243699714E-1
4.742277170E-1,1.041222960E-1,-1.054954529E-2,-4.858970642E-3,1.047681012E-1
4.792655820E-1,1.388456523E-1,-1.051425934E-3,-7.157325745E-3,1.390339814E-1
4.843034990E-1,1.187771708E-1,-2.018475533E-2,-4.254817963E-2,1.277724080E-1
4.893414150E-1,1.297179610E-1,-1.369714737E-3,-1.121997833E-2,1.302094982E-1
4.943792800E-1,1.191848814E-1,1.478791237E-2,8.440017700E-4,1.201017513E-1
4.994171970E-1,8.038060367E-2,2.209186554E-3,2.465534210E-2,8.410593229E-2
5.044551130E-1,5.145847797E-2,2.298450470E-2,3.872585297E-2,6.838094837E-2
5.094929780E-1,3.221356869E-2,8.069992065E-3,3.605937958E-2,4.902160376E-2
5.145308950E-1,-1.290975511E-2,1.711845398E-2,7.367229462E-2,7.672880970E-2
5.195687590E-1,-5.284495652E-2,1.847743988E-4,6.584262848E-2,8.442674515E-2
5.246066760E-1,-8.516782522E-2,-9.439706802E-3,2.965545654E-2,9.067586570E-2
5.296445920E-1,-8.160259575E-2,-1.659965515E-2,3.649425507E-2,9.091954045E-2
5.346824570E-1,-8.519180119E-2,-1.415085793E-2,1.718330383E-2,8.805200566E-2
5.397203740E-1,-9.104466438E-2,-1.409769058E-2,-1.141834259E-2,9.283455359E-2
5.447582900E-1,-6.835079938E-2,-1.635885239E-2,-1.130867004E-2,7.118517996E-2
5.497961550E-1,-3.866979480E-2,-5.884480476E-2,-1.732826233E-3,7.043484056E-2
5.548340720E-1,-4.015983641E-2,-4.633474350E-2,2.433300018E-2,6.596829400E-2
5.598719880E-1,-8.564442396E-3,-3.628993034E-2,2.406406403E-2,4.437778606E-2
5.649098530E-1,3.803536296E-3,-4.765915871E-2,2.379131317E-2,5.340307931E-2
5.699477700E-1,4.686690867E-2,-5.889773369E-2,4.960536957E-2,9.014512106E-2
5.749856860E-1,6.348071992E-2,-8.429908752E-2,3.249740601E-2,1.104183832E-1
5.800235510E-1,6.809413433E-2,-9.538722038E-2,8.469581604E-3,1.175043265E-1
5.850614670E-1,6.324000657E-2,-1.231942177E-1,-3.189563751E-2,1.421036431E-1
5.900993840E-1,5.373322964E-2,-1.439929008E-1,-7.893180847E-2,1.727757097E-1
5.951372490E-1,4.914081097E-2,-1.410949230E-1,-6.381320953E-2,1.624645263E-1
6.001751650E-1,4.224170744E-2,-1.501579285E-1,-3.220844269E-2,1.592769572E-1
