"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.219354500E-2,-7.511541247E-3,-1.969347000E-1,-8.584976196E-2,2.149648365E-1
7.723130600E-2,-4.009340703E-2,-2.134189606E-1,-8.687734604E-2,2.338863127E-1
8.226901400E-2,-1.846204698E-2,-2.114753723E-1,-8.679342270E-2,2.293376953E-1
8.730677500E-2,2.975910902E-3,-1.876516342E-1,-1.204953194E-1,2.230271595E-1
9.234448300E-2,4.839554429E-3,-1.583671570E-1,-1.109294891E-1,1.934138807E-1
9.738224300E-2,-6.440094113E-2,-1.366491318E-1,-7.878208160E-2,1.703733630E-1
1.024200040E-1,-1.249119341E-1,-1.237888336E-1,-2.957201004E-2,1.783288266E-1
1.074577120E-1,-1.734715849E-1,-1.123466492E-1,9.419918060E-3,2.068886058E-1
1.124954720E-1,-1.750412732E-1,-1.335692406E-1,2.359247208E-2,2.214425300E-1
1.175331810E-1,-2.200149596E-1,-1.608901024E-1,3.257989883E-2,2.745062063E-1
1.225709410E-1,-2.090284377E-1,-1.691641808E-1,4.117918015E-2,2.720388441E-1
1.276086500E-1,-1.628965884E-1,-2.251529694E-1,4.491758347E-2,2.815079882E-1
1.326464100E-1,-1.124763638E-1,-2.608098984E-1,2.134418488E-2,2.848303174E-1
1.376841180E-1,-8.047349751E-2,-2.681193352E-1,-4.430818558E-2,2.834204950E-1
1.427218790E-1,-1.546032727E-2,-2.483806610E-1,-7.497596741E-2,2.599103118E-1
1.477596390E-1,3.469303250E-3,-2.324628830E-1,-9.513950348E-2,2.512022157E-1
1.527973470E-1,2.876396477E-2,-1.994333267E-1,-9.385061264E-2,2.222812520E-1
1.578350560E-1,6.249240041E-2,-1.222248077E-1,-6.277608871E-2,1.509471465E-1
1.628728160E-1,5.154962838E-2,-5.284023285E-2,-2.142381668E-2,7.686634058E-2
1.679105770E-1,5.965296924E-2,1.381635666E-2,1.614093781E-2,6.332375797E-2
1.729482850E-1,6.991754472E-2,6.417798996E-2,4.323148727E-2,1.042892082E-1
1.779860450E-1,5.911314487E-2,1.219849586E-1,2.384185791E-4,1.355534982E-1
1.830237540E-1,9.267070889E-2,1.662278175E-1,7.481575012E-3,1.904613388E-1
1.880615140E-1,1.041107923E-1,1.742358208E-1,1.703834534E-2,2.036847651E-1
1.930992220E-1,1.242104322E-1,2.352771759E-1,1.030158997E-2,2.662512042E-1
1.981369830E-1,1.271197200E-1,2.340950966E-1,1.561117172E-2,2.668401134E-1
2.031747430E-1,1.110181957E-1,2.584786415E-1,9.384155273E-3,2.814681337E-1
2.082124520E-1,9.265156090E-2,2.612776756E-1,1.746129990E-2,2.777683073E-1
2.132502120E-1,6.963460147E-2,3.107948303E-1,6.950855255E-2,3.259966919E-1
2.182879200E-1,2.108773589E-2,3.198337555E-1,1.153154373E-1,3.406405346E-1
2.233256810E-1,-7.776306570E-2,2.173476219E-1,1.269965172E-1,2.634676423E-1
2.283633890E-1,-1.531579196E-1,1.833524704E-1,1.007552147E-1,2.592818737E-1
2.334011500E-1,-1.707882583E-1,1.600418091E-1,1.518959999E-1,2.790240216E-1
2.384389100E-1,-1.439491063E-1,9.792280197E-2,1.736240387E-1,2.458770570E-1
2.434766180E-1,-1.113276631E-1,1.398229599E-2,1.434955597E-1,1.821546838E-1
2.485143790E-1,-4.013092816E-2,-6.823921204E-2,3.954410553E-2,8.849190774E-2
2.535520870E-1,1.282061636E-2,-1.327242851E-1,-7.092285156E-2,1.510303113E-1
2.585898470E-1,4.341059923E-2,-2.361102104E-1,-1.574459076E-1,2.870918414E-1
2.636275560E-1,7.103787363E-2,-2.815766335E-1,-2.089624405E-1,3.577667977E-1
2.686653160E-1,8.903320134E-2,-3.217892647E-1,-2.498378754E-1,4.170062419E-1
2.737030250E-1,1.095646024E-1,-3.824577332E-1,-2.031722069E-1,4.467183289E-1
2.787407850E-1,1.047047228E-1,-3.974356651E-1,-1.341309547E-1,4.323300821E-1
2.837785450E-1,6.541903317E-2,-4.119229317E-1,-3.510951996E-3,4.171000819E-1
2.888162540E-1,1.816448569E-2,-3.765807152E-1,1.053729057E-1,3.914670265E-1
2.938540140E-1,-1.346141100E-2,-3.182067871E-1,1.813278198E-1,3.664922198E-1
2.988917220E-1,-9.567248821E-2,-2.536120415E-1,1.991701126E-1,3.363644249E-1
3.039294830E-1,-1.221428365E-1,-1.641325951E-1,1.435995102E-1,2.499583977E-1
3.089671910E-1,-1.365476251E-1,-5.960607529E-2,1.569843292E-1,2.164306303E-1
3.140049520E-1,-1.251911968E-1,1.733636856E-2,1.088776588E-1,1.668164561E-1
3.190426600E-1,-1.071621627E-1,3.885364532E-2,-3.715896606E-2,1.198921333E-1
3.240804200E-1,-4.481038451E-2,6.702327728E-2,-1.312351227E-1,1.540219065E-1
3.291181810E-1,-1.918523014E-2,5.702781677E-2,-1.366353035E-1,1.492965207E-1
3.341558890E-1,4.813215137E-2,4.472827911E-2,-1.183190346E-1,1.353392659E-1
3.391936500E-1,4.356919229E-2,-1.694154739E-2,-1.190500259E-1,1.278991760E-1
3.442313580E-1,3.442589939E-2,-4.019069672E-2,-1.101274490E-1,1.221821987E-1
3.492691180E-1,3.721852601E-2,-3.489446640E-2,-2.335071564E-3,5.107146975E-2
