"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.329085000E-2,-2.424417585E-1,-1.638507843E-2,-6.240367889E-3,2.430749252E-1
7.832850700E-2,-2.638265491E-1,2.461481094E-2,2.717971802E-4,2.649724717E-1
8.336621500E-2,-2.861413062E-1,4.721879959E-2,4.217720032E-2,2.930620725E-1
8.840387100E-2,-2.787608504E-1,7.081842422E-2,7.150506973E-2,2.963711119E-1
9.344158000E-2,-2.633703947E-1,9.321641922E-2,1.448578835E-1,3.147015602E-1
9.847923600E-2,-2.468672991E-1,6.811571121E-2,2.357006073E-1,3.480488324E-1
1.035169440E-1,-1.889668405E-1,7.617282867E-2,2.193880081E-1,2.994025129E-1
1.085546000E-1,-1.295751929E-1,1.680850983E-2,1.564140320E-1,2.038077673E-1
1.135923090E-1,-8.377945423E-2,-3.046989441E-3,1.005387306E-1,1.309057579E-1
1.186299650E-1,-2.109567821E-2,-9.391498566E-2,1.686429977E-2,9.772132202E-2
1.236676730E-1,2.193385363E-2,-1.890592575E-1,-5.538702011E-2,1.982226495E-1
1.287053300E-1,3.328093886E-2,-2.661404610E-1,-1.489953995E-1,3.068191567E-1
1.337430380E-1,2.826760709E-2,-2.968416214E-1,-1.428761482E-1,3.306472434E-1
1.387806940E-1,1.665876806E-2,-3.359994888E-1,-7.577943802E-2,3.448415495E-1
1.438184020E-1,3.242090344E-3,-3.170623779E-1,2.243614197E-2,3.178717400E-1
1.488560590E-1,-3.005810082E-2,-2.883338928E-1,9.146022797E-2,3.039817371E-1
1.538937150E-1,-7.325163484E-2,-2.569532394E-1,1.098432541E-1,2.888880574E-1
1.589314230E-1,-6.861461699E-2,-2.136044502E-1,1.554145813E-1,2.729258487E-1
1.639690800E-1,-6.173752248E-2,-1.998276711E-1,1.671814919E-1,2.677541242E-1
1.690067880E-1,-1.352161169E-2,-1.521415710E-1,1.094384193E-1,1.879006633E-1
1.740444440E-1,7.815971971E-3,-9.927177429E-2,7.217550278E-2,1.229848681E-1
1.790821520E-1,4.946619272E-2,-1.013464928E-1,1.528549194E-2,1.138053693E-1
1.841198090E-1,4.359471798E-2,-6.409025192E-2,8.863925934E-3,7.801685081E-2
1.891575170E-1,7.038676739E-2,-6.283998489E-2,9.585857391E-3,9.484223419E-2
1.941951730E-1,8.254410326E-2,-5.480957031E-2,-5.849361420E-3,9.925640035E-2
1.992328820E-1,8.980353177E-2,-6.113529205E-2,2.344512939E-2,1.111389776E-1
2.042705380E-1,5.509756505E-2,-5.348300934E-2,3.807258606E-2,8.570703455E-2
2.093082460E-1,5.035907030E-3,-1.357316971E-2,1.174750328E-1,1.183637387E-1
