"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.310562600E-2,1.389391571E-1,-4.663991928E-2,-7.452011108E-2,1.644159920E-1
7.814317800E-2,1.666717380E-1,-2.258825302E-2,-3.905296326E-2,1.726697176E-1
8.318073000E-2,1.759511381E-1,-2.301168442E-2,-6.122589111E-4,1.774506001E-1
8.821828200E-2,2.098194063E-1,-1.749539375E-2,2.156162262E-2,2.116487081E-1
9.325583400E-2,2.025061548E-1,2.399444580E-3,3.567218781E-2,2.056380438E-1
9.829338600E-2,1.811014414E-1,2.694129944E-3,2.907180786E-2,1.834398005E-1
1.033309380E-1,1.864498109E-1,-1.293206215E-2,-3.690719604E-3,1.869341906E-1
1.083684900E-1,1.362274587E-1,-7.042026520E-2,-9.701728821E-3,1.536589008E-1
1.134060950E-1,9.857538342E-2,-8.883237839E-2,-5.143070221E-2,1.423144926E-1
1.184436470E-1,8.383844048E-2,-1.315124035E-1,-7.064628601E-2,1.712170964E-1
1.234811990E-1,5.888450146E-2,-1.066620350E-1,-9.132003784E-2,1.522613659E-1
1.285187510E-1,3.308361024E-2,-8.798313141E-2,-6.570816040E-2,1.146870482E-1
1.335563030E-1,2.223124355E-2,-7.503008842E-2,-1.638793945E-2,7.995190378E-2
1.385938550E-1,4.841512442E-2,-3.295803070E-2,-1.376152039E-3,5.858455304E-2
1.436314070E-1,6.448877603E-2,-1.760697365E-2,1.518440247E-2,6.855197906E-2
1.486689590E-1,6.641556323E-2,3.887820244E-2,-1.721096039E-2,7.885910741E-2
1.537065110E-1,4.325328767E-2,3.622412682E-2,-6.224441528E-2,8.400834180E-2
1.587440630E-1,1.654475182E-2,2.958106995E-2,-9.193897247E-2,9.798746436E-2
1.637816150E-1,2.430640161E-3,1.909947395E-2,-5.161285400E-2,5.508706396E-2
1.688191680E-1,5.003072321E-3,-2.065253258E-2,-6.135463715E-2,6.493034217E-2
1.738567200E-1,9.738318622E-3,-3.334879875E-2,-5.009937286E-2,6.096658420E-2
1.788942720E-1,-1.110431552E-2,-8.020591736E-2,-3.700351715E-2,8.902558780E-2
1.839318240E-1,-3.395281732E-3,-1.140010357E-1,-2.438259125E-2,1.166287908E-1
1.889693760E-1,-4.322230816E-4,-9.824228287E-2,8.708953857E-3,9.862848897E-2
1.940069280E-1,-1.373685896E-2,-1.412123442E-1,3.154563904E-2,1.453435750E-1
1.990444800E-1,-2.438363433E-2,-1.367501020E-1,6.075191498E-2,1.516111711E-1
2.040820320E-1,-2.098454535E-2,-1.350048780E-1,7.060337067E-2,1.537904555E-1
2.091195840E-1,-1.317614317E-2,-1.615232229E-1,5.467605591E-2,1.710345970E-1
2.141571360E-1,1.783533394E-2,-1.549265385E-1,-2.689361572E-3,1.559729596E-1
2.191946880E-1,1.635521650E-3,-1.183705330E-1,-5.154228210E-2,1.291157034E-1
2.242322930E-1,9.393163025E-3,-9.924960136E-2,-6.183815002E-2,1.173144138E-1
2.292698450E-1,2.634113282E-2,-1.016807556E-1,-2.290058136E-2,1.075047346E-1
2.343073970E-1,1.707758754E-2,-3.404474258E-2,1.507663727E-2,4.096331878E-2
2.393449490E-1,3.357347101E-2,1.565909386E-2,3.067970276E-3,3.717253849E-2
2.443825010E-1,3.558495641E-2,5.497908592E-2,1.469898224E-2,6.711966247E-2
2.494200530E-1,3.532683849E-2,4.912614822E-2,2.136135101E-2,6.416908348E-2
2.544576050E-1,4.455288500E-2,8.111500740E-2,1.144886017E-2,9.325063210E-2
2.594951570E-1,6.827048957E-3,8.685994148E-2,-6.246566772E-4,8.713006501E-2
2.645327090E-1,-1.140534133E-2,7.860970497E-2,6.273269653E-3,7.968011947E-2
2.695702610E-1,-2.227542549E-2,1.011281013E-1,-1.053810120E-3,1.035577036E-1
2.746078130E-1,-1.885543764E-2,7.172179222E-2,3.476142883E-3,7.424032986E-2
2.796453650E-1,-1.315907389E-2,6.651186943E-2,1.492977142E-2,6.942541376E-2
2.846829180E-1,8.905477822E-3,7.325458527E-2,2.379798889E-2,7.753635324E-2
2.897204700E-1,1.880595833E-2,8.920240402E-2,2.313041687E-2,9.405184281E-2
2.947580220E-1,3.782948852E-2,4.836606979E-2,2.721309662E-2,6.716323054E-2
2.997955740E-1,2.817894518E-2,8.073568344E-3,1.013565063E-2,3.101559078E-2
3.048331780E-1,2.336993814E-2,-1.766824722E-2,-8.914947510E-3,3.062347559E-2
3.098707300E-1,2.564119548E-2,-3.619074821E-2,-2.051067352E-2,4.886643930E-2
3.149082820E-1,3.489872068E-2,-6.482601166E-4,1.097679138E-3,3.492199659E-2
3.199458340E-1,2.743472159E-2,-3.622770309E-3,3.568649292E-3,2.790203704E-2
3.249833860E-1,3.492303193E-3,-1.851677895E-2,2.958011627E-2,3.507207668E-2
3.300209380E-1,-1.072348654E-2,-1.694869995E-2,3.639221191E-2,4.155291424E-2
3.350584900E-1,-3.184141591E-2,-2.500319481E-2,4.314041138E-2,5.916190169E-2
3.400960430E-1,-6.191682443E-2,-2.429008484E-3,-4.360198975E-3,6.211766709E-2
