"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.441959100E-2,1.479021460E-1,5.868005753E-2,-1.892061234E-1,2.472192368E-1
7.945719500E-2,1.534602642E-1,9.282350540E-2,-1.420783997E-1,2.288067470E-1
8.449485100E-2,1.729431152E-1,1.293120384E-1,-1.137638092E-1,2.440760715E-1
8.953245500E-2,2.118954659E-1,1.705536842E-1,-1.151189804E-1,2.953652439E-1
9.457011200E-2,2.139436007E-1,1.789832115E-1,-6.415843964E-2,2.862222207E-1
9.960771600E-2,2.104229033E-1,1.745369434E-1,-5.501365662E-2,2.788681503E-1
1.046453720E-1,1.991274804E-1,1.266760826E-1,-4.321098328E-3,2.360450280E-1
1.096829760E-1,1.623152792E-1,9.581279755E-2,3.869915009E-2,1.924161279E-1
1.147206330E-1,1.596911848E-1,1.300835609E-2,4.555320740E-2,1.665700649E-1
1.197582370E-1,7.179400325E-2,-3.578257561E-2,1.601314545E-2,8.179970933E-2
1.247958930E-1,4.784182087E-2,-9.586477280E-2,-2.821922302E-3,1.071767593E-1
1.298334970E-1,2.638675272E-3,-1.122434139E-1,-4.574775696E-2,1.212369739E-1
1.348711530E-1,8.166357875E-4,-1.166677475E-1,-3.203392029E-2,1.209884385E-1
1.399087580E-1,-1.000513881E-2,-1.186467409E-1,1.503944397E-3,1.190773437E-1
1.449464140E-1,-1.587777957E-2,-7.704997063E-2,-5.391120911E-3,7.885344661E-2
1.499840180E-1,5.954053253E-3,-7.392978668E-2,-2.579879761E-2,7.852796997E-2
1.550216740E-1,4.763877392E-2,-1.806020737E-2,-5.465793610E-2,7.472023721E-2
1.600592780E-1,3.049746901E-2,3.568816185E-2,-7.790374756E-2,9.095457325E-2
1.650969350E-1,8.332489431E-2,6.686353683E-2,-5.201339722E-2,1.188240887E-1
1.701345390E-1,6.501279771E-2,5.551981926E-2,-4.098320007E-2,9.480894939E-2
1.751721950E-1,5.422963575E-2,4.469513893E-2,-2.657890320E-3,7.032476959E-2
1.802097990E-1,5.077284947E-2,4.591321945E-2,3.900146484E-2,7.878464459E-2
1.852474550E-1,3.592250124E-2,3.093719482E-3,1.217842102E-2,3.805668317E-2
1.902851120E-1,2.167769149E-2,-1.522040367E-2,-2.306556702E-2,3.512269036E-2
1.953227160E-1,7.995761931E-3,-7.719039917E-2,-2.010059357E-2,8.016435489E-2
